rank,feature,gain
1,total_past_due,2794.40966796875
2,any_past_due,1465.9271240234375
3,RevolvingUtilizationOfUnsecuredLines,687.5878295898438
4,age_bin,326.0329895019531
5,NumberOfTime30-59DaysPastDueNotWorse,258.09674072265625
6,NumberOfTimes90DaysLate,224.58541870117188
7,open_lines_per_age_yr,144.88333129882812
8,NumberOfTime60-89DaysPastDueNotWorse,126.99070739746094
9,NumberRealEstateLoansOrLines,123.79084777832031
10,age,108.07381439208984
11,MonthlyIncome_was_missing,81.35599517822266
12,DebtRatio,73.31877899169922
13,NumberOfOpenCreditLinesAndLoans,70.14932250976562
14,log_monthly_income,66.01057434082031
15,MonthlyIncome,62.21015930175781
16,income_per_dependent,55.885860443115234
17,NumberOfDependents,41.1109733581543
